Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.0,Mon Sep 10 19:06:03 +0000 2018,0.0,1.0,0.0,"James Fox tells the story of Australia's indigenous culture, the oldest continuous culture anywhere in the world, a… https://t.co/5pAyJOvHUW",82,@BBC
0.0,Mon Sep 10 18:05:05 +0000 2018,0.0,1.0,0.0,Cooling down - elephant style 🐘 https://t.co/niviG9h3Cg,83,@BBC
-0.8402,Mon Sep 10 17:02:07 +0000 2018,0.444,0.556,0.0,"Suicide kills more men under 50 than anything else.

#WorldSuicidePreventionDay #WSPD

https://t.co/sshexDg1vi",84,@BBC
0.0,Mon Sep 10 16:23:57 +0000 2018,0.0,1.0,0.0,RT @bbcthree: Lucy was 22 and studying to become a nurse. This is her story. #WorldSuicidePreventionDay https://t.co/jSQugzd4BV,85,@BBC
0.0,Mon Sep 10 16:02:02 +0000 2018,0.0,1.0,0.0,✊ How did a clenched fist become a gesture for empowerment? https://t.co/mFFNKB6dsV,86,@BBC
0.1511,Mon Sep 10 15:08:58 +0000 2018,0.0,0.898,0.102,"Anyone else 100% relate to this? 😂

 (You'll want the sound on!) 🔊🚘 

 #EightGoRallying

https://t.co/ULYk3hqLHM 

https://t.co/uu0Znl71sJ",87,@BBC
0.0,Mon Sep 10 14:05:07 +0000 2018,0.0,1.0,0.0,"“Once you’ve been touched by evil… it never lets go.”

John Goodman, @MichaelaCoel, Noma Dumezweni and Harriet Walt… https://t.co/jVsuuKQmgQ",88,@BBC
-0.2577,Mon Sep 10 13:04:03 +0000 2018,0.128,0.788,0.083,"🎞 From a documentary on MIA to Idris Elba’s directorial debut, these are the films worth a trip to the cinema this… https://t.co/EKChfvQXNQ",89,@BBC
0.0,Mon Sep 10 12:22:38 +0000 2018,0.0,1.0,0.0,"RT @BBCR1: .@30SECONDSTOMARS mashing up @JuiceWorlddd, @PostMalone, @Normani and @thegreatkhalid in the Live Lounge?

It really, REALLY wor…",90,@BBC
0.0,Mon Sep 10 12:03:05 +0000 2018,0.0,1.0,0.0,Ever heard of Tambourelli? https://t.co/gt2tmnOTQa,91,@BBC
0.0,Mon Sep 10 11:29:29 +0000 2018,0.0,1.0,0.0,RT @BBCOne: NEWS JUST IN: Filming begins this week on the fifth and final series of #Poldark. Head here for more 👉 https://t.co/Js6OtCRxK8…,92,@BBC
-0.1531,Mon Sep 10 11:05:08 +0000 2018,0.118,0.789,0.092,"Insects will be at the heart of worldwide crop losses as the climate warms up, predicts a US study.
👉… https://t.co/t317WjY16V",93,@BBC
-0.4767,Mon Sep 10 10:16:52 +0000 2018,0.221,0.674,0.105,🏄 A surfer has tracked down the stranger who saved his life when he broke his neck in a surfing accident after a Fa… https://t.co/tLrFxL8q91,94,@BBC
0.745,Mon Sep 10 09:03:39 +0000 2018,0.0,0.777,0.223,"RT @BBCR1: 🎉 #R1TEENAWARDS 2018 🎉

This is going to be HUGE! Performing at this year's Teen Awards 👇

⭐️ @LittleMix
⭐️ @5SOS
⭐️ @HRVY
⭐️ @J…",95,@BBC
0.128,Mon Sep 10 08:59:29 +0000 2018,0.079,0.789,0.133,"RT @BBCRadio2: Did @kylieminogue play your favourite Kylie song tonight?

If you missed the Hyde Park headline set or if you want to step b…",96,@BBC
0.4404,Mon Sep 10 08:00:08 +0000 2018,0.0,0.868,0.132,Two London police officers have set up a bike project scheme to improve relations between local police and young pe… https://t.co/Uh38yxESnp,97,@BBC
0.4215,Mon Sep 10 07:27:03 +0000 2018,0.0,0.797,0.203,⚡️🚂 How the Hogwarts Express was saved from a Welsh scrapyard. https://t.co/7SGdI4Qql3 https://t.co/AUUCW6uVka,98,@BBC
0.5023,Mon Sep 10 07:00:05 +0000 2018,0.0,0.847,0.153,"""Michael doesn't speak to me in words but I feel like we communicate through our own little language."" 
(via… https://t.co/qiBQEYrKlY",99,@BBC
0.0,Sun Sep 16 14:33:46 +0000 2018,0.0,1.0,0.0,RT @CBSAllAccess: Sundays were made for NFL on CBS. 🏈💯 Stream NFL on CBS All Access live today: https://t.co/vsod8jGE7N https://t.co/co2528…,0,@CBS
-0.4322,Sat Sep 15 16:00:01 +0000 2018,0.159,0.771,0.07,"What happens when a PTA mom steals nearly $100,000 from her daughter's school? Don't miss the #PinkCollarCrimes sea… https://t.co/Gjiy0pByaE",1,@CBS
-0.2481,Fri Sep 14 18:22:59 +0000 2018,0.248,0.571,0.181,"RT @CBSAllAccess: No internet, no problem. You can now download and play your favorite shows on CBS All Access! 🙌 Learn how: https://t.co/y…",2,@CBS
0.0,Thu Sep 13 20:52:06 +0000 2018,0.0,1.0,0.0,@PlaggemeyLee Mac's putting something together. 😉 https://t.co/6ww5HlV6Bx,3,@CBS
0.0,Thu Sep 13 20:28:06 +0000 2018,0.0,1.0,0.0,This just in... https://t.co/QG3OYF6Rfv,4,@CBS
0.4753,Thu Sep 13 18:06:49 +0000 2018,0.083,0.699,0.218,RT @CBSAllAccess: Get excited! Stream original #MurphyBrown episodes for a limited time on CBS All Access before the @MurphyBrownCBS reviva…,5,@CBS
0.0,Mon Sep 10 17:06:16 +0000 2018,0.0,1.0,0.0,"This just in! The 54th #ACMawards will air LIVE from Las Vegas on Sunday, April 7, 2019 at 8/7c on CBS and… https://t.co/Q9e7qxe26l",6,@CBS
-0.2263,Sun Sep 09 23:36:09 +0000 2018,0.083,0.917,0.0,"Due to an NFL overrun, CBS is delayed 17 mins in the following markets: Kansas City, Miami, Tampa, NOLA, New York,… https://t.co/9eXZ9mA1Xb",7,@CBS
0.6705,Sun Sep 09 14:00:00 +0000 2018,0.0,0.718,0.282,Are you ready for some football? 🏈 Stream your favorite NFL games LIVE on #CBSAllAccess today:… https://t.co/eHt8guHoyv,8,@CBS
0.4215,Sat Sep 08 16:20:43 +0000 2018,0.0,0.851,0.149,An unforgettable night of inspiring stories and performances highlighting the 10 years of impact #StandUpToCancer c… https://t.co/8bp2XNKwfH,9,@CBS
0.0,Sat Sep 08 00:00:00 +0000 2018,0.0,1.0,0.0,The star-studded event is about to begin! Tune in now to watch #StandUpToCancer on CBS and @cbsallaccess. https://t.co/cD8TJuQBog,10,@CBS
-0.5411,Fri Sep 07 23:15:09 +0000 2018,0.196,0.712,0.092,"RT @cbsallaccess: Join #TellMeAStory's @daniellemcam, @BillyMagnussen &amp; Dorian Missick by standing up to cancer! Watch @SU2C tonight at 8/7…",11,@CBS
0.0,Fri Sep 07 21:50:51 +0000 2018,0.0,1.0,0.0,Tune in to a first-of-its-kind digital live show as lead up to @SU2C’s televised event tonight! The show will featu… https://t.co/hIVaLAXYmR,12,@CBS
-0.296,Thu Sep 06 22:10:49 +0000 2018,0.121,0.879,0.0,Hollywood legend Burt Reynolds has passed away at the age of 82. He will be missed. https://t.co/HSmcJ9X9iC,13,@CBS
0.4753,Thu Sep 06 19:00:01 +0000 2018,0.0,0.808,0.192,Here are @FBICBS’ @JeremySisto and @EboneeReigne with a powerful message before #StandUpToCancer airs tomorrow! https://t.co/OCqh91N1OO,14,@CBS
0.0,Wed Sep 05 21:00:00 +0000 2018,0.0,1.0,0.0,Here's everything you need to know before tuning into #StandUpToCancer this Friday at 8/7c: https://t.co/IT9ht84TZ1 https://t.co/OK4AOxw5mP,15,@CBS
0.3612,Wed Sep 05 17:32:40 +0000 2018,0.0,0.889,0.111,Survivor host @JeffProbst is here to break down the theme of #Survivor: David vs. Goliath before the new season beg… https://t.co/8TcA200eFQ,16,@CBS
0.6908,Wed Sep 05 16:48:09 +0000 2018,0.0,0.467,0.533,"Thanks, @StephenAtHome. 
P.S. Nice beard. #LSSC https://t.co/wppVtfR9cL",17,@CBS
0.4215,Tue Sep 04 20:34:26 +0000 2018,0.0,0.865,0.135,The biggest names in entertainment are coming together once again for #StandUpToCancer this Friday at 8/7c on @CBS… https://t.co/ntuGKLYvuW,18,@CBS
0.6514,Sat Sep 01 15:25:34 +0000 2018,0.0,0.829,0.171,RT @cbsallaccess: Stream #17 @WestVirginiaU vs. @UTKnoxville LIVE today at 3:30PM ET on CBS All Access! Try 1 month FREE using code BINGENO…,19,@CBS
0.0,Fri Aug 31 21:26:49 +0000 2018,0.0,1.0,0.0,"In just one week, @RWitherspoon, @McConaughey, Jennifer Garner, and more will attend the #​StandUpToCancer fundrais… https://t.co/iHKGOoWejA",20,@CBS
0.0,Fri Aug 31 18:01:01 +0000 2018,0.0,1.0,0.0,"Believe in miracles. Watch this sneak peek of the complete premiere episode of @GodFriendedMe now, a month before i… https://t.co/5AIUH5VmMk",21,@CBS
-0.6908,Thu Aug 30 19:45:51 +0000 2018,0.239,0.761,0.0,"RT @cbsallaccess: Money. Murder. Mystery. #OneDollar is now streaming, exclusively on CBS All Access. https://t.co/3qFdTEmVU5 https://t.co/…",22,@CBS
0.6239,Thu Aug 30 15:32:47 +0000 2018,0.0,0.83,0.17,RT @GodFriendedMe: It's a godsend! We're dropping the #GodFriendedMe pilot tomorrow right here on Twitter for you to stream a full month be…,23,@CBS
0.0,Mon Aug 27 23:36:57 +0000 2018,0.0,1.0,0.0,"It's almost time for sweater weather, pumpkin spice lattes, and CBS Fall TV premieres. Check out the storylines for… https://t.co/BpgDyYl8fc",24,@CBS
-0.4389,Fri Aug 24 20:30:16 +0000 2018,0.121,0.879,0.0,RT @cbsallaccess: #NFL preseason coverage is here! 🏈 The Detroit @Lions battle the Tampa Bay @Buccaneers tonight at 8PM ET. Stream the game…,25,@CBS
0.0,Wed Aug 22 20:55:25 +0000 2018,0.0,1.0,0.0,"@bigbangtheory 🎶...happy kitty, sleepy kitty, purr purr purr🎶 #TheBigBangTheory https://t.co/sEObppGJlZ",26,@CBS
0.0,Wed Aug 22 20:10:12 +0000 2018,0.0,1.0,0.0,"This is going to require multiple singings of ""Soft Kitty."" https://t.co/UdRGNeQ7Lb",27,@CBS
0.5423,Mon Aug 20 21:59:56 +0000 2018,0.0,0.829,0.171,Got to get more of the @PaulMcCartney #CarpoolKaraoke into your life? @latelateshow produced an hour-long bonus spe… https://t.co/DjPqajo6Xn,28,@CBS
0.3182,Fri Aug 17 17:42:02 +0000 2018,0.0,0.887,0.113,"How much does it cost to bury the truth? 
#OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/ZL5TBH9ro5",29,@CBS
0.0,Thu Aug 16 18:40:09 +0000 2018,0.0,1.0,0.0,Things got carried away when @ArianaGrande joined @latelateshow for #CarpoolKaraoke. So did Ariana. #ArianaCarpool https://t.co/WSZcC0TaYz,30,@CBS
